tag
abstract
ack
addr-line
aff
alt-title
article
article-categories
article-id
article-meta
article-title
back
body
bold
caption
contrib
contrib-group
copyright-statement
copyright-year
country
date
day
def
def-item
def-list
element-citation
elocation-id
email
etal
ext-link
fig
fn
fn-group
fpage
front
given-names
glossary
graphic
history
institution
issn
issue
italic
journal-id
journal-meta
journal-title
journal-title-group
label
license
license-p
lpage
media
month
name
named-content
p
permissions
person-group
pub-date
pub-id
publisher
publisher-loc
publisher-name
ref
ref-list
related-article
sec
source
sub
subj-group
subject
sup
supplementary-material
surname
term
title
title-group
volume
xref
year
